transaction_id,merchant_id,timestamp,amount,customer_id,payment_method,status,category,campaign_id
TXN0000082,PAYTM_M_001,2026-03-25 08:05:25,68.05,CUST_N00081,Paytm Wallet,SUCCESS,Tea & Beverages,
TXN0000092,PAYTM_M_001,2026-03-25 08:06:41,285.65,CUST_N00091,UPI,SUCCESS,Snacks,
TXN0000061,PAYTM_M_001,2026-03-25 08:12:58,52.40,CUST_N00060,Paytm Postpaid,SUCCESS,Tea & Beverages,
TXN0000022,PAYTM_M_001,2026-03-25 08:18:45,375.97,CUST_N00021,UPI,SUCCESS,Meals & Combos,
TXN0000044,PAYTM_M_001,2026-03-25 08:25:02,68.08,CUST_N00043,UPI,SUCCESS,Tea & Beverages,
TXN0000039,PAYTM_M_001,2026-03-25 08:31:29,181.19,CUST_N00038,UPI,SUCCESS,Snacks,
TXN0000046,PAYTM_M_001,2026-03-25 08:40:03,128.42,CUST_N00045,UPI,SUCCESS,Tea & Beverages,
TXN0000064,PAYTM_M_001,2026-03-25 08:42:29,55.20,CUST_N00063,UPI,SUCCESS,Tea & Beverages,
TXN0000058,PAYTM_M_001,2026-03-25 09:20:44,155.73,CUST_N00057,Cash,SUCCESS,Snacks,
TXN0000047,PAYTM_M_001,2026-03-25 09:28:56,217.75,CUST_N00046,Paytm Wallet,SUCCESS,Snacks,
TXN0000103,PAYTM_M_001,2026-03-25 09:29:43,207.95,CUST_N00102,UPI,SUCCESS,Snacks,
TXN0000086,PAYTM_M_001,2026-03-25 09:31:01,67.37,CUST_N00085,Paytm Wallet,SUCCESS,Tea & Beverages,
TXN0000024,PAYTM_M_001,2026-03-25 09:32:37,310.86,CUST_N00023,UPI,SUCCESS,Snacks,
TXN0000030,PAYTM_M_001,2026-03-25 09:34:52,298.98,CUST_N00029,Paytm Postpaid,SUCCESS,Snacks,
TXN0000067,PAYTM_M_001,2026-03-25 09:38:15,280.43,CUST_N00066,UPI,SUCCESS,Snacks,
TXN0000006,PAYTM_M_001,2026-03-25 09:38:24,81.35,CUST_N00005,Card,SUCCESS,Tea & Beverages,
TXN0000071,PAYTM_M_001,2026-03-25 09:51:24,139.39,CUST_N00070,UPI,SUCCESS,Tea & Beverages,
TXN0000099,PAYTM_M_001,2026-03-25 09:58:15,113.31,CUST_N00098,UPI,SUCCESS,Tea & Beverages,
TXN0000073,PAYTM_M_001,2026-03-25 10:07:45,284.17,CUST_N00072,UPI,SUCCESS,Snacks,
TXN0000095,PAYTM_M_001,2026-03-25 10:14:35,205.47,CUST_N00094,UPI,SUCCESS,Snacks,
TXN0000087,PAYTM_M_001,2026-03-25 10:15:49,909.06,CUST_N00086,Paytm Wallet,SUCCESS,Bulk / Party Order,
TXN0000072,PAYTM_M_001,2026-03-25 10:20:05,694.95,CUST_N00071,Paytm Postpaid,SUCCESS,Meals & Combos,
TXN0000088,PAYTM_M_001,2026-03-25 10:22:48,128.97,CUST_N00087,UPI,FAILED,Tea & Beverages,
TXN0000020,PAYTM_M_001,2026-03-25 10:25:18,56.96,CUST_N00019,UPI,SUCCESS,Tea & Beverages,
TXN0000015,PAYTM_M_001,2026-03-25 10:30:21,603.53,CUST_N00014,UPI,SUCCESS,Meals & Combos,
TXN0000013,PAYTM_M_001,2026-03-25 10:34:17,78.32,CUST_N00012,Card,SUCCESS,Tea & Beverages,
TXN0000019,PAYTM_M_001,2026-03-25 10:39:53,289.10,CUST_N00018,UPI,SUCCESS,Snacks,
TXN0000085,PAYTM_M_001,2026-03-25 10:43:46,226.18,CUST_N00084,Paytm Wallet,SUCCESS,Desserts,
TXN0000012,PAYTM_M_001,2026-03-25 11:00:28,455.88,CUST_N00011,UPI,SUCCESS,Meals & Combos,
TXN0000093,PAYTM_M_001,2026-03-25 11:09:40,157.41,CUST_N00092,UPI,SUCCESS,Snacks,
TXN0000094,PAYTM_M_001,2026-03-25 11:19:31,138.45,CUST_N00093,UPI,SUCCESS,Tea & Beverages,
TXN0000080,PAYTM_M_001,2026-03-25 11:32:38,135.10,CUST_N00079,Card,SUCCESS,Tea & Beverages,
TXN0000066,PAYTM_M_001,2026-03-25 11:56:34,70.40,CUST_N00065,Card,SUCCESS,Tea & Beverages,
TXN0000070,PAYTM_M_001,2026-03-25 12:03:57,135.90,CUST_N00069,UPI,SUCCESS,Tea & Beverages,
